rank,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches
151,shameemkpofficial-git,OnlineShop,shameemkpofficial-git/OnlineShop,https://github.com/shameemkpofficial-git/OnlineShop.git,0,0,0,18,6834,2
152,sudharsan201,OnlineShopping,sudharsan201/OnlineShopping,https://github.com/sudharsan201/OnlineShopping.git,0,0,0,16,463,2
153,Tetiana1386,react-project,Tetiana1386/react-project,https://github.com/Tetiana1386/react-project.git,0,0,0,18,1052,2
154,TudorPopescu24,OnlineShop,TudorPopescu24/OnlineShop,https://github.com/TudorPopescu24/OnlineShop.git,0,0,0,31,363,2
155,mirunabetianu,crwn-clothing,mirunabetianu/crwn-clothing,https://github.com/mirunabetianu/crwn-clothing.git,0,0,1,20,591,2
156,YoussefMdb,OnlineShopper,YoussefMdb/OnlineShopper,https://github.com/YoussefMdb/OnlineShopper.git,0,0,0,16,911,2
157,JackHowa,meta-store-frontend,JackHowa/meta-store-frontend,https://github.com/JackHowa/meta-store-frontend.git,0,0,12,21,3199,2
158,darshana-perera-97,shopping-app-react,darshana-perera-97/shopping-app-react,https://github.com/darshana-perera-97/shopping-app-react.git,0,0,0,38,188,2
159,awaghadsangita,ReactNative_OnlineShop,awaghadsangita/ReactNative_OnlineShop,https://github.com/awaghadsangita/ReactNative_OnlineShop.git,0,0,13,0,1772,2
160,Perriex,OnlineShop-ReactHooks,Perriex/OnlineShop-ReactHooks,https://github.com/Perriex/OnlineShop-ReactHooks.git,0,1,0,0,1817,2
161,truongbaolam0209,ReactNative_OnlineShop,truongbaolam0209/ReactNative_OnlineShop,https://github.com/truongbaolam0209/ReactNative_OnlineShop.git,0,0,0,0,8665,2
162,Ashkan771010,ReactJs-OnlineShop,Ashkan771010/ReactJs-OnlineShop,https://github.com/Ashkan771010/ReactJs-OnlineShop.git,0,0,0,0,953,2
163,khasanov-yevhenii,react-book-shop,khasanov-yevhenii/react-book-shop,https://github.com/khasanov-yevhenii/react-book-shop.git,0,0,0,17,1949,2
164,alexey221284,papagrek_react-spring,alexey221284/papagrek_react-spring,https://github.com/alexey221284/papagrek_react-spring.git,0,0,1,15,5093,2
165,VictorVega007,ProyectoReact-ECommerce,VictorVega007/ProyectoReact-ECommerce,https://github.com/VictorVega007/ProyectoReact-ECommerce.git,0,0,0,19,1031,2
166,KyleKnolleLynch,React-Online-Cart,KyleKnolleLynch/React-Online-Cart,https://github.com/KyleKnolleLynch/React-Online-Cart.git,0,0,0,25,8044,2
