,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches
173,IndiraHuseinagic,Angular-project,IndiraHuseinagic/Angular-project,https://github.com/IndiraHuseinagic/Angular-project.git,0,0,0,41,34515,2
174,aron-milu,online-Shopping,aron-milu/online-Shopping,https://github.com/aron-milu/online-Shopping.git,0,0,0,37,245,2
175,Belchenkov,angular_shop,Belchenkov/angular_shop,https://github.com/Belchenkov/angular_shop.git,0,0,13,33,497,2
176,feria22,Online_shop,feria22/Online_shop,https://github.com/feria22/Online_shop.git,0,0,17,44,343,2
177,paint-it-green,online-shop,paint-it-green/online-shop,https://github.com/paint-it-green/online-shop.git,0,0,0,44,356,2
178,PanitJr,angular4-shopping-online-template,PanitJr/angular4-shopping-online-template,https://github.com/PanitJr/angular4-shopping-online-template.git,0,1,0,0,11153,2
179,gareder,frontend-meang-onlineshop,gareder/frontend-meang-onlineshop,https://github.com/gareder/frontend-meang-onlineshop.git,0,0,0,38,2334,2
180,AkshaySrivatsa03,OnlineShoppingCart,AkshaySrivatsa03/OnlineShoppingCart,https://github.com/AkshaySrivatsa03/OnlineShoppingCart.git,0,0,2,55,56662,2
181,pranaykumar389,online-shopping-app-angular2,pranaykumar389/online-shopping-app-angular2,https://github.com/pranaykumar389/online-shopping-app-angular2.git,0,0,0,0,226,2
182,Hieungx,Shop-Cart-Angular,Hieungx/Shop-Cart-Angular,https://github.com/Hieungx/Shop-Cart-Angular.git,0,0,0,28,189,2
183,nirannjan,Online-Shopping-App,nirannjan/Online-Shopping-App,https://github.com/nirannjan/Online-Shopping-App.git,0,0,0,39,23,2
184,opazupa,OnlineShop-Redux,opazupa/OnlineShop-Redux,https://github.com/opazupa/OnlineShop-Redux.git,0,0,0,43,1184,2
185,MorganJalil,OnlineMovieShop,MorganJalil/OnlineMovieShop,https://github.com/MorganJalil/OnlineMovieShop.git,0,0,16,61,2940,2
186,noam992,coffee-shop-online,noam992/coffee-shop-online,https://github.com/noam992/coffee-shop-online.git,0,0,0,34,6433,2
187,johannesrehrl,Online-Shopping-Angular-Exercise,johannesrehrl/Online-Shopping-Angular-Exercise,https://github.com/johannesrehrl/Online-Shopping-Angular-Exercise.git,0,0,0,30,109,2
188,brajendrasingh,Angular-4-Portal,brajendrasingh/Angular-4-Portal,https://github.com/brajendrasingh/Angular-4-Portal.git,0,0,0,31,99,2
189,gianLuigiL,wine-shop-angular,gianLuigiL/wine-shop-angular,https://github.com/gianLuigiL/wine-shop-angular.git,1,0,0,33,7902,2
190,basmazaki,OnlineShopping,basmazaki/OnlineShopping,https://github.com/basmazaki/OnlineShopping.git,0,1,40,71,3547,2
191,harpreetsingh19,JeanStation_Online_App_UI,harpreetsingh19/JeanStation_Online_App_UI,https://github.com/harpreetsingh19/JeanStation_Online_App_UI.git,0,0,0,50,8270,2
192,zurgalos,Online-Shop,zurgalos/Online-Shop,https://github.com/zurgalos/Online-Shop.git,0,0,0,135,499,2
193,mahnazmahmoodzade,OnlineShopping,mahnazmahmoodzade/OnlineShopping,https://github.com/mahnazmahmoodzade/OnlineShopping.git,0,0,0,59,185,2
194,dorkian,onlineShop,dorkian/onlineShop,https://github.com/dorkian/onlineShop.git,0,0,0,62,1157,2
