,name,full_name,clone_url,forks,watchers,open_issues,size,n_branches,len_description,owner,framework
148,vue-online-shop,lmbrjk/vue-online-shop,https://github.com/lmbrjk/vue-online-shop.git,1,0,0,1484,2,0,lmbrjk,vue
149,vue-online-shop-frontend,gandipapa/vue-online-shop-frontend,https://github.com/gandipapa/vue-online-shop-frontend.git,1,0,0,195,2,0,gandipapa,vue
150,vue-online-shop-backend,gxhao2020/vue-online-shop-backend,https://github.com/gxhao2020/vue-online-shop-backend.git,1,0,0,26,2,23,gxhao2020,vue
151,online_shop_vue,Aleksandr1945/online_shop_vue,https://github.com/Aleksandr1945/online_shop_vue.git,1,0,0,419,2,0,Aleksandr1945,vue
152,vue-online-shop-backend,Arrrrray/vue-online-shop-backend,https://github.com/Arrrrray/vue-online-shop-backend.git,1,0,2,39,2,32,Arrrrray,vue
153,best_online_shop_vue,AlexanderBredun/best_online_shop_vue,https://github.com/AlexanderBredun/best_online_shop_vue.git,1,0,0,1797,2,0,AlexanderBredun,vue
154,vue-online-shop-backend,cheneyg916/vue-online-shop-backend,https://github.com/cheneyg916/vue-online-shop-backend.git,1,0,0,4,2,26,cheneyg916,vue
155,vue-online-shop,easonxu0908/vue-online-shop,https://github.com/easonxu0908/vue-online-shop.git,1,0,17,123447,2,0,easonxu0908,vue
156,vue-js-online-shop,Kutloano16/vue-js-online-shop,https://github.com/Kutloano16/vue-js-online-shop.git,1,0,0,26,2,24,Kutloano16,vue
157,vue-online-shop,Dyphellia/vue-online-shop,https://github.com/Dyphellia/vue-online-shop.git,1,0,22,2957,2,0,Dyphellia,vue
158,vue-online-shop,AlexandreCln/vue-online-shop,https://github.com/AlexandreCln/vue-online-shop.git,1,0,0,460,2,53,AlexandreCln,vue
159,online-shop-vue,DaryaUdiryakova/online-shop-vue,https://github.com/DaryaUdiryakova/online-shop-vue.git,1,0,0,1830,2,0,DaryaUdiryakova,vue
160,online-shop-vue-application,tharma-thavam/online-shop-vue-application,https://github.com/tharma-thavam/online-shop-vue-application.git,1,0,0,159,2,0,tharma-thavam,vue
161,online-shop-vue,feihoa/online-shop-vue,https://github.com/feihoa/online-shop-vue.git,1,0,0,1345,2,0,feihoa,vue
162,Vue.js_online_shopping,anatoliy5035/Vue.js_online_shopping,https://github.com/anatoliy5035/Vue.js_online_shopping.git,1,0,0,161,2,0,anatoliy5035,vue
163,Vue-Online-Shop,chenhui996/Vue-Online-Shop,https://github.com/chenhui996/Vue-Online-Shop.git,1,1,21,6277,2,0,chenhui996,vue
164,vue-online-shop,zzzzzjhhhh/vue-online-shop,https://github.com/zzzzzjhhhh/vue-online-shop.git,1,0,17,3725,2,0,zzzzzjhhhh,vue
165,online-shop-vue,PavelKP/online-shop-vue,https://github.com/PavelKP/online-shop-vue.git,1,0,0,3666,2,0,PavelKP,vue
166,Vue-online-shop,JunZhenSun/Vue-online-shop,https://github.com/JunZhenSun/Vue-online-shop.git,1,0,0,3094,2,0,JunZhenSun,vue
167,vue-online-shop,BaxtiyorBohodirov/vue-online-shop,https://github.com/BaxtiyorBohodirov/vue-online-shop.git,1,0,0,137,2,0,BaxtiyorBohodirov,vue
168,vue-online-shop-backend,elysium88/vue-online-shop-backend,https://github.com/elysium88/vue-online-shop-backend.git,1,0,1,21,2,0,elysium88,vue
169,online-shop-vue,maidacencoanastasia/online-shop-vue,https://github.com/maidacencoanastasia/online-shop-vue.git,1,0,0,2496,2,0,maidacencoanastasia,vue
170,vue-online-shop,vitshevtsov/vue-online-shop,https://github.com/vitshevtsov/vue-online-shop.git,1,0,0,3679,2,0,vitshevtsov,vue
171,Online_Shop_Frontend_Vue,Honglin-Lu/Online_Shop_Frontend_Vue,https://github.com/Honglin-Lu/Online_Shop_Frontend_Vue.git,1,0,0,7716,2,116,Honglin-Lu,vue
172,online-shop-vue,YuliaGrineva/online-shop-vue,https://github.com/YuliaGrineva/online-shop-vue.git,0,0,0,416,2,43,YuliaGrineva,vue
173,vue-online-shop,liutkevych/vue-online-shop,https://github.com/liutkevych/vue-online-shop.git,1,0,0,315,2,0,liutkevych,vue
174,vuejs-online-shop,IharDubadzelau/vuejs-online-shop,https://github.com/IharDubadzelau/vuejs-online-shop.git,1,0,23,3591,2,0,IharDubadzelau,vue
175,Vue-online-shop,melhemm/Vue-online-shop,https://github.com/melhemm/Vue-online-shop.git,1,0,0,831,2,0,melhemm,vue
176,learn-vue-online-shop,ItmoSpace/learn-vue-online-shop,https://github.com/ItmoSpace/learn-vue-online-shop.git,1,0,0,214,2,0,ItmoSpace,vue
177,vue-online-shop-frontend,xiaobaihena/vue-online-shop-frontend,https://github.com/xiaobaihena/vue-online-shop-frontend.git,1,0,0,250,2,0,xiaobaihena,vue
178,vue-online-shop-frontend,jay6697117/vue-online-shop-frontend,https://github.com/jay6697117/vue-online-shop-frontend.git,1,0,0,215,2,0,jay6697117,vue
179,online-shop-vue,Shirokuiu/online-shop-vue,https://github.com/Shirokuiu/online-shop-vue.git,1,0,0,4090,2,0,Shirokuiu,vue
180,vue_online_shop,baikhonov/vue_online_shop,https://github.com/baikhonov/vue_online_shop.git,1,0,0,854,2,0,baikhonov,vue
181,my_online_shop_Vue,CatherinaG/my_online_shop_Vue,https://github.com/CatherinaG/my_online_shop_Vue.git,1,0,0,1911,2,0,CatherinaG,vue
