,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches,framework
146,cheneyg916,vue-online-shop-backend,cheneyg916/vue-online-shop-backend,https://github.com/cheneyg916/vue-online-shop-backend.git,1,0,0,26,4,2,vue
147,liutkevych,vue-online-shop,liutkevych/vue-online-shop,https://github.com/liutkevych/vue-online-shop.git,1,0,0,0,315,2,vue
148,IharDubadzelau,vuejs-online-shop,IharDubadzelau/vuejs-online-shop,https://github.com/IharDubadzelau/vuejs-online-shop.git,0,0,23,0,3591,2,vue
149,melhemm,Vue-online-shop,melhemm/Vue-online-shop,https://github.com/melhemm/Vue-online-shop.git,0,0,0,0,831,2,vue
150,xiaobaihena,vue-online-shop-frontend,xiaobaihena/vue-online-shop-frontend,https://github.com/xiaobaihena/vue-online-shop-frontend.git,0,0,0,0,250,2,vue
151,ItmoSpace,learn-vue-online-shop,ItmoSpace/learn-vue-online-shop,https://github.com/ItmoSpace/learn-vue-online-shop.git,0,0,0,0,214,2,vue
152,jay6697117,vue-online-shop-frontend,jay6697117/vue-online-shop-frontend,https://github.com/jay6697117/vue-online-shop-frontend.git,1,0,0,0,215,2,vue
153,Shirokuiu,online-shop-vue,Shirokuiu/online-shop-vue,https://github.com/Shirokuiu/online-shop-vue.git,0,0,0,0,4090,2,vue
154,baikhonov,vue_online_shop,baikhonov/vue_online_shop,https://github.com/baikhonov/vue_online_shop.git,0,0,0,0,854,2,vue
155,elysium88,vue-online-shop-backend,elysium88/vue-online-shop-backend,https://github.com/elysium88/vue-online-shop-backend.git,1,0,1,0,21,2,vue
156,maidacencoanastasia,online-shop-vue,maidacencoanastasia/online-shop-vue,https://github.com/maidacencoanastasia/online-shop-vue.git,0,0,0,0,2496,2,vue
157,vitshevtsov,vue-online-shop,vitshevtsov/vue-online-shop,https://github.com/vitshevtsov/vue-online-shop.git,0,0,0,0,3679,2,vue
158,Honglin-Lu,Online_Shop_Frontend_Vue,Honglin-Lu/Online_Shop_Frontend_Vue,https://github.com/Honglin-Lu/Online_Shop_Frontend_Vue.git,1,0,0,116,7716,2,vue
159,michalmullen,vue-online-shop,michalmullen/vue-online-shop,https://github.com/michalmullen/vue-online-shop.git,0,0,24,0,848,2,vue
160,CassielLee,vue-online-shop-frontend,CassielLee/vue-online-shop-frontend,https://github.com/CassielLee/vue-online-shop-frontend.git,0,0,16,0,1821,2,vue
161,SlavaOdinokov,vue-online-shop,SlavaOdinokov/vue-online-shop,https://github.com/SlavaOdinokov/vue-online-shop.git,0,0,0,0,224,2,vue
162,Aaron-LHR,Online-shopping-mall-vue,Aaron-LHR/Online-shopping-mall-vue,https://github.com/Aaron-LHR/Online-shopping-mall-vue.git,0,0,0,0,28474,2,vue
163,dmitrKuznetsov,vue_online_shop,dmitrKuznetsov/vue_online_shop,https://github.com/dmitrKuznetsov/vue_online_shop.git,0,0,0,0,263,2,vue
164,thawzindev,online-shop-vue,thawzindev/online-shop-vue,https://github.com/thawzindev/online-shop-vue.git,0,0,25,0,2916,2,vue
165,yijuw,vue-online-shop,yijuw/vue-online-shop,https://github.com/yijuw/vue-online-shop.git,0,0,16,0,4316,2,vue
166,Ramunas-Bkr,tutorial-online-shop-vue,Ramunas-Bkr/tutorial-online-shop-vue,https://github.com/Ramunas-Bkr/tutorial-online-shop-vue.git,0,0,0,0,375,2,vue
167,YanPershay,Vue.js-Online-Shop,YanPershay/Vue.js-Online-Shop,https://github.com/YanPershay/Vue.js-Online-Shop.git,0,0,0,0,6681,2,vue
168,Gutu-Ivan,Online_Shop-Vue,Gutu-Ivan/Online_Shop-Vue,https://github.com/Gutu-Ivan/Online_Shop-Vue.git,0,0,0,0,1446,2,vue
169,MrVelasquezz,vue-online-shop,MrVelasquezz/vue-online-shop,https://github.com/MrVelasquezz/vue-online-shop.git,0,0,0,76,1996,2,vue
170,Arrrrray,vue-online-shop-frontend,Arrrrray/vue-online-shop-frontend,https://github.com/Arrrrray/vue-online-shop-frontend.git,1,0,14,32,1725,2,vue
171,summerxmf,vue-online-shop,summerxmf/vue-online-shop,https://github.com/summerxmf/vue-online-shop.git,0,0,14,0,2750,2,vue
172,lljoyful,vue_shop_online,lljoyful/vue_shop_online,https://github.com/lljoyful/vue_shop_online.git,1,0,0,0,319,2,vue
173,blackwaterstar,online_shop_vue_admin,blackwaterstar/online_shop_vue_admin,https://github.com/blackwaterstar/online_shop_vue_admin.git,1,0,0,0,472,2,vue
174,kkarapetyan2012,VUEJS_Online-shop,kkarapetyan2012/VUEJS_Online-shop,https://github.com/kkarapetyan2012/VUEJS_Online-shop.git,0,0,15,0,7433,2,vue
175,369997,online-shop-VUE,369997/online-shop-VUE,https://github.com/369997/online-shop-VUE.git,0,0,20,34,5416,2,vue
176,AndrewProkopenko,vue-online-shop,AndrewProkopenko/vue-online-shop,https://github.com/AndrewProkopenko/vue-online-shop.git,0,0,0,0,191,2,vue
177,MojganNasirian,vue-online-shop,MojganNasirian/vue-online-shop,https://github.com/MojganNasirian/vue-online-shop.git,0,0,0,0,152,2,vue
178,CatherinaG,my_online_shop_Vue,CatherinaG/my_online_shop_Vue,https://github.com/CatherinaG/my_online_shop_Vue.git,0,0,0,0,1911,2,vue
179,af4n,vue-online-shop,af4n/vue-online-shop,https://github.com/af4n/vue-online-shop.git,0,0,0,0,758,2,vue
180,valeriilogvin,vue-online-shop,valeriilogvin/vue-online-shop,https://github.com/valeriilogvin/vue-online-shop.git,0,0,0,0,211,2,vue
181,anatoliy5035,Vue.js_online_shopping,anatoliy5035/Vue.js_online_shopping,https://github.com/anatoliy5035/Vue.js_online_shopping.git,0,0,0,0,161,2,vue
