complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,violations,open_issues,confirmed_issues,false_positive_issues,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,code_smells,sqale_rating,sqale_index,sqale_debt_ratio,alert_status,quality_gate_details,bugs,reliability_rating,reliability_remediation_effort,vulnerabilities,security_rating,security_remediation_effort,security_hotspots,security_review_rating,security_hotspots_reviewed,lines_to_cover,skipped_tests,tests,test_execution_time,test_errors,test_failures,test_success_density
370,223,2,1,40,1.1,57,57,0,0,0,24,23,10,0,46,1.0,285,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",11,3.0,39,0,1.0,0,14,5.0,0.0,760,,,,,,
21,5,0,0,0,0.0,4,4,0,0,0,0,4,0,0,2,1.0,10,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",2,3.0,1,0,1.0,0,1,5.0,0.0,30,,,,,,
181,74,0,0,0,0.0,42,42,0,0,0,2,28,12,0,16,1.0,59,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",26,4.0,67,0,1.0,0,18,5.0,0.0,389,,,,,,
137,32,0,0,0,0.0,58,58,0,0,0,17,36,5,0,46,1.0,245,0.8,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",12,3.0,29,0,1.0,0,1,5.0,0.0,168,,,,,,
136,40,0,0,0,0.0,3,3,0,0,0,0,1,2,0,2,1.0,20,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1,2.0,5,0,1.0,0,3,5.0,0.0,189,,,,,,
3041,8125,0,0,0,0.0,379,379,0,0,0,2,330,46,1,375,1.0,10092,3.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",4,3.0,21,0,1.0,0,4,5.0,0.0,4979,,,,,,
94,28,0,0,0,0.0,7,7,0,0,0,0,5,2,0,6,1.0,15,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1,2.0,5,0,1.0,0,1,5.0,0.0,158,,,,,,
24,6,0,0,0,0.0,3,3,0,0,0,0,2,1,0,2,1.0,7,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1,3.0,5,0,1.0,0,0,1.0,,30,,,,,,
80,19,4,3,106,1.5,14,14,0,0,0,6,2,6,0,11,1.0,45,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,2.0,15,0,1.0,0,0,1.0,,97,,,,,,
742,603,0,0,0,0.0,112,112,0,0,0,9,92,11,0,86,1.0,551,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",26,3.0,198,0,1.0,0,1,5.0,0.0,1391,,,,,,
107,44,2,1,24,0.8,74,74,0,0,1,2,20,51,0,23,1.0,88,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",51,5.0,166,0,1.0,0,4,5.0,0.0,209,,,,,,
30,4,0,0,0,0.0,2,2,0,0,0,0,2,0,0,2,1.0,10,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,2,5.0,0.0,108,,,,,,
2,0,0,0,0,0.0,3,3,0,0,0,0,3,0,0,0,1.0,0,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,3.0,3,0,1.0,0,0,1.0,,5,,,,,,
234,83,0,0,0,0.0,33,33,0,0,0,0,22,11,0,29,1.0,169,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",4,3.0,12,0,1.0,0,3,5.0,0.0,572,,,,,,
182,176,33,3,474,15.7,44,44,0,0,2,4,14,24,0,41,1.0,248,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,5.0,11,0,1.0,0,28,5.0,0.0,368,,,,,,
21,2,0,0,0,0.0,6,6,0,0,0,0,5,1,0,1,1.0,1,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",5,3.0,10,0,1.0,0,0,1.0,,22,,,,,,
21,2,0,0,0,0.0,5,5,0,0,0,0,4,1,0,0,1.0,0,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",5,3.0,10,0,1.0,0,0,1.0,,22,,,,,,
59,7,0,0,0,0.0,9,9,0,0,0,1,6,2,0,5,1.0,17,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",4,4.0,19,0,1.0,0,2,5.0,0.0,64,,,,,,
31,9,0,0,0,0.0,7,7,0,0,0,0,4,3,0,5,1.0,25,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",2,2.0,10,0,1.0,0,0,1.0,,47,,,,,,
47,5,0,0,0,0.0,7,7,0,0,0,1,4,1,1,1,1.0,0,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",6,4.0,11,0,1.0,0,3,5.0,0.0,46,,,,,,
4,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,7,,,,,,
