blocker_violations,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,file_complexity,confirmed_issues,coverage,critical_violations,complexity,last_commit_date,development_cost,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,files,functions,info_violations,violations,line_coverage,lines,ncloc,ncloc_language_distribution,lines_to_cover,sqale_rating,major_violations,minor_violations,open_issues,reliability_rating,reliability_remediation_effort,reopened_issues,security_hotspots,security_hotspots_reviewed,security_rating,security_remediation_effort,security_review_rating,security_hotspots_reviewed_status,security_hotspots_to_review_status,skipped_tests
0,1,5,13,58,48,3.4,3.5,0,0.0,1,109,1569141233000,40710,0,0,0,0.0,0,0,47,73,0,14,0.0,1601,1357,css=347;js=989;web=21,148,1.0,7,6,14,3.0,1,0,0,,1.0,0,1.0,0,0,
0,0,5,7,50,49,7.0,3.6,0,0.0,1,75,1659714405074,19470,2,1,52,6.6,0,0,23,44,0,7,0.0,783,649,css=18;js=611;web=20,116,1.0,1,5,7,1.0,0,0,2,0.0,1.0,0,5.0,0,2,
0,0,1,1,36,48,19.9,7.0,0,0.0,1,35,1555561618000,5790,0,0,0,0.0,0,0,7,17,0,1,0.0,279,193,css=42;js=133;web=18,45,1.0,0,0,1,1.0,0,0,0,,1.0,0,1.0,0,0,
0,0,5,7,40,112,10.6,3.6,0,0.0,1,57,1585916783000,28230,10,6,309,27.3,0,0,19,36,0,7,0.0,1130,941,css=50;js=662;web=229,83,1.0,4,2,7,1.0,0,0,3,0.0,1.0,0,5.0,0,3,
1,0,2,4,31,49,17.3,4.3,0,0.0,1,34,1539170738000,7020,0,0,0,0.0,0,0,10,20,0,4,0.0,347,234,css=41;js=176;web=17,49,1.0,0,2,4,1.0,0,0,0,,1.0,0,1.0,0,0,
1,0,20,35,116,84,5.9,4.3,0,0.0,2,177,1659715291292,40530,2,2,53,3.1,0,0,42,111,1,36,0.0,1716,1351,css=3;js=893;py=431;web=24,507,1.0,20,12,36,1.0,0,0,7,0.0,5.0,45,5.0,0,7,
1,2,0,1,38,48,17.5,8.6,0,0.0,1,43,1574769738000,6810,0,0,0,0.0,0,0,7,24,0,3,0.0,321,227,css=35;js=172;web=20,60,1.0,1,0,3,5.0,10,0,0,,1.0,0,1.0,0,0,
0,2,2,3,44,71,14.9,7.9,0,0.0,1,63,1572131771000,12150,0,0,0,0.0,0,0,10,38,0,5,0.0,549,405,css=125;js=259;web=21,113,1.0,2,2,5,3.0,2,0,2,0.0,1.0,0,5.0,0,2,
0,0,7,13,41,3,0.4,2.9,0,0.0,0,104,1631020758000,24330,0,0,0,0.0,0,0,38,73,0,13,0.0,963,811,css=45;js=740;web=26,334,1.0,4,9,13,1.0,0,0,2,0.0,1.0,0,5.0,0,2,
0,25,30,36,719,1734,7.1,24.1,0,0.0,10,892,1550311377000,676500,0,0,0,0.0,0,0,135,361,3,61,0.0,28105,22550,css=18417;js=4115;web=18,1820,1.0,44,4,61,3.0,33,0,1,0.0,1.0,0,5.0,0,1,
0,2,0,36,73,45,2.5,4.2,0,0.0,1,220,1580031591000,53160,0,0,0,0.0,0,0,71,166,0,38,0.0,2176,1772,css=415;js=1336;web=21,309,1.0,17,20,38,3.0,2,0,0,,1.0,0,1.0,0,0,
1,2,6,7,22,42,14.0,2.6,0,0.0,0,39,1659719725814,7770,0,0,0,0.0,0,0,19,26,0,9,0.0,349,259,js=241;web=18,56,1.0,5,3,9,5.0,10,0,1,0.0,1.0,0,5.0,0,1,
8,10,3,26,14,23,1.6,4.6,0,0.0,0,102,1570876312000,42960,2,1,56,3.5,0,0,23,80,0,36,0.0,1621,1432,css=500;js=918;web=14,174,1.0,23,5,36,5.0,42,0,1,0.0,1.0,0,5.0,0,1,
0,1,0,10,155,452,15.2,8.4,0,0.0,3,269,1602560358000,75450,2,1,36,1.1,0,0,42,135,1,11,0.0,3319,2515,css=650;js=1845;web=20,526,1.0,7,0,11,4.0,5,0,0,,1.0,0,1.0,0,0,
