complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,violations,open_issues,confirmed_issues,false_positive_issues,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,code_smells,sqale_rating,sqale_index,sqale_debt_ratio,alert_status,quality_gate_details,bugs,reliability_rating,reliability_remediation_effort,vulnerabilities,security_rating,security_remediation_effort,security_hotspots,security_review_rating,security_hotspots_reviewed,lines_to_cover,skipped_tests,tests,test_execution_time,test_errors,test_failures,test_success_density
44,1,0,0,0,0.0,24,24,0,0,0,13,11,0,0,23,1.0,87,0.6,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1,3.0,5,0,1.0,0,0,1.0,,50,,,,,,
505,186,2,2,59,0.9,91,91,0,0,0,17,27,46,1,53,1.0,219,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",38,3.0,100,0,1.0,0,6,5.0,0.0,802,,,,,,
371,133,0,0,0,0.0,95,95,0,0,0,22,35,38,0,71,1.0,310,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",24,3.0,63,0,1.0,0,5,5.0,0.0,574,,,,,,
493,168,0,0,0,0.0,100,100,0,0,0,19,31,50,0,64,1.0,260,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",36,3.0,93,0,1.0,0,4,5.0,0.0,803,,,,,,
92,11,0,0,0,0.0,53,53,0,0,0,5,34,14,0,26,1.0,112,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",27,3.0,47,0,1.0,0,0,1.0,,133,,,,,,
258,31,0,0,0,0.0,80,80,0,0,0,9,29,42,0,72,1.0,237,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",8,3.0,50,0,1.0,0,0,1.0,,436,,,,,,
248,154,2,2,164,4.5,130,130,0,0,1,10,30,87,2,88,1.0,282,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",42,4.0,205,0,1.0,0,0,1.0,,555,,,,,,
52,2,0,0,0,0.0,31,31,0,0,0,15,10,6,0,27,1.0,102,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",4,3.0,11,0,1.0,0,1,5.0,0.0,55,,,,,,
27,1,0,0,0,0.0,13,13,0,0,0,2,8,3,0,11,1.0,31,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",2,3.0,3,0,1.0,0,0,1.0,,23,,,,,,
54,3,0,0,0,0.0,12,12,0,0,0,4,8,0,0,12,1.0,52,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,1,5.0,0.0,94,,,,,,
37,13,0,0,0,0.0,16,16,0,0,0,2,7,7,0,15,1.0,40,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1,3.0,0,0,1.0,0,1,5.0,0.0,40,,,,,,
87,13,0,0,0,0.0,15,15,0,0,0,4,10,1,0,15,1.0,60,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,130,,,,,,
77,10,0,0,0,0.0,55,55,0,0,1,9,29,16,0,42,1.0,166,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",13,5.0,33,0,1.0,0,0,1.0,,133,,,,,,
3,0,0,0,0,0.0,1,1,0,0,0,0,1,0,0,1,1.0,1,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,6,,,,,,
598,130,4,3,173,2.1,230,230,0,0,1,14,118,97,0,182,1.0,704,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",48,4.0,305,0,1.0,0,3,5.0,0.0,928,,,,,,
